Hybrid_Genus,Abbreviation,Parent1,Parent2,Parent3,Parent4,Parent5,Parent6,Parent7,Parent8,Parent9,Parent10
Schomcaulattleya,Scty.,Cattleya,Caularthron,Schomburgkia,,,,,,,
Schomkeria,Skr.,Barkeria,Schomburgkia,,,,,,,,
Schomrhyncattleya,Smr.,Cattleya,Rhyncholaelia,Schomburgkia,,,,,,,
Schuitemania,Stm.,Schuitemania,,,,,,,,,
Schunkeara,Shk.,Brassia,Miltonia,Miltoniopsis,Oncidium,,,,,,
Schweinfurthara,Swf.,Brassia,Cischweinfia,Oncidium,Rodriguezia,,,,,,
Scolnikara,Snk.,Brassia,Gomesa,Miltonia,Rhynchostele,,,,,,
Scottara,Sctt.,Aerides,Arachnis,Luisia,,,,,,,
Sealara,Se.,Papilionanthe,Paraphalaenopsis,Vanda,,,,,,,
Sedenara,Sedn.,Brassia,Odontoglossum,Oncidium,Rhynchostele,,,,,,
Segerara,Sgra.,Aspasia,Cochlioda,Miltonia,Odontoglossum,Oncidium,,,,,
Seibertara,Srr.,Comparettia,Gomesa,Leochilus,Rodriguezia,,,,,,
Seidenanda,Snn.,Seidenfadenia,Vanda,,,,,,,,
Seidenfadenara,Sef.,Cyrtochilum,Miltonia,Nohawilliamsia,Oncidium,,,,,,
Seidenfadenia,Sei.,Seidenfadenia,,,,,,,,,
Seidenides,Sdn.,Aerides,Seidenfadenia,,,,,,,,
Selbyana,Slb.,Selbyana,,,,,,,,,
Senghasara,Sngs.,Ada,Gomesa,Odontoglossum,,,,,,,
Seraphrys,Sry.,Ophrys,Serapias,,,,,,,,
Serapias,Srps.,Serapias,,,,,,,,,
Serapicamptis,Ser.,Anacamptis,Serapias,,,,,,,,
Serapirhiza,Sz.,Dactylorhiza,Serapias,,,,,,,,
Sergioara,Sgr.,Cattleya,Epidendrum,Guarianthe,Rhyncholaelia,,,,,,
Serpenticaulis,Srp.,Serpenticaulis,,,,,,,,,
Sevillaara,Svl.,Broughtonia,Cattleya,Encyclia,Laelia,,,,,,
Sheehanara,Shn.,Ascoglossum,Renanthera,Trichoglottis,,,,,,,
Sherriffara,Srf.,Brassia,Cyrtochilum,Gomesa,Oncidium,,,,,,
Shiveara,Shva.,Aspasia,Brassia,Odontoglossum,Oncidium,,,,,,
Siebertara,Sbt.,Brassavola,Broughtonia,Cattleya,Laelia,Myrmecophila,,,,,
Sigmacidium,Sgdm.,Oncidium,Sigmatostalix,,,,,,,,
Sigmatostalix,Sgmx.,Sigmatostalix,,,,,,,,,
Sigmettia,Sgmt.,Comparettia,Sigmatostalix,,,,,,,,
Simpliglottis,Sgt.,Simpliglottis,,,,,,,,,
Sirjeremiahara,Sjm.,Gomesa,Miltonia,Nohawilliamsia,Rhynchostele,,,,,,
Skeptrostachys,Skp.,Skeptrostachys,,,,,,,,,
Sobennigraecum,Sbgcm.,Angraecum,Sobennikoffia,,,,,,,,
Sobennikoffia,Sbk.,Sobennikoffia,,,,,,,,,
Sobralia,Sob.,Sobralia,,,,,,,,,
Sobratilla,Sbl.,Bletilla,Sobralia,,,,,,,,
Solanderara,Slr.,Brassia,Cochlioda,Miltoniopsis,Odontoglossum,,,,,,
Sophronitis,S.,Sophronitis,,,,,,,,,
Spathoglottis,Spa.,Spathoglottis,,,,,,,,,
Spathophaius,Spp.,Phaius,Spathoglottis,,,,,,,,
Spiessara,Sps.,Arachnis,Paraphalaenopsis,Renanthera,Vandopsis,,,,,,
Spilorhiza,Spil.,Dactylorhiza,Spiranthes,,,,,,,,
Spiranthes,Spir.,Spiranthes,,,,,,,,,
Spruceara,Spr.,Cochlioda,Miltonia,Miltoniopsis,Odontoglossum,,,,,,
Staffordara,Std.,Aganisia,Galeottia,Zygosepalum,,,,,,,
Stanbreea,Stb.,Embreea,Stanhopea,,,,,,,,
Stangora,Stga.,Gongora,Stanhopea,,,,,,,,
Stanhocycnis,Stncn.,Polycycnis,Stanhopea,,,,,,,,
Stanhopea,Stan.,Stanhopea,,,,,,,,,
Staurachnanthera,Sant.,Arachnis,Renanthera,Staurochilus,,,,,,,
Staurandopsis,Sup.,Staurochilus,Vandopsis,,,,,,,,
Staurochoglottis,Stgl.,Staurochilus,Trichoglottis,,,,,,,,
Stauropsis,Sp.,Stauropsis,,,,,,,,,
Staurovanda,Sur.,Staurochilus,Vanda,,,,,,,,
Stelis,Ste.,Stelis,,,,,,,,,
Stellamizutaara,Stlma.,Brassavola,Broughtonia,Cattleya,,,,,,,
Stellilabium,Sbm.,Stellilabium,,,,,,,,,
Stellipogon,Stp.,Stellilabium,Telipogon,,,,,,,,
Stenia,Sen.,Stenia,,,,,,,,,
Steniella,Stla.,Chaubardiella,Stenia,,,,,,,,
Stenizella,Szl.,Stenia,Warczewiczella,,,,,,,,
Stenobolusia,Snb.,Neobolusia,Stenoglottis,,,,,,,,
Stenodenella,Sno.,Mesadenella,Stenorrhynchos,,,,,,,,
Stenoglottis,Sngl.,Stenoglottis,,,,,,,,,
Stenolexia,Snx.,Pelexia,Stenorrhynchos,,,,,,,,
Stenopetella,Snp.,Stenia,Warczewiczella,Zygopetalum,,,,,,,
Stenopogon,Spg.,Cyclopogon,Stenorrhynchos,,,,,,,,
Stenorrhynchos,Strs.,Stenorrhynchos,,,,,,,,,
Stenosarcos,Stsc.,Sarcoglottis,Stenorrhynchos,,,,,,,,
Stenotyla,Sty.,Stenotyla,,,,,,,,,
Stephenara,Stph.,Aganisia,Batemannia,Neogardneria,Otostylis,Zygopetalum,Zygosepalum,,,,
Stephenmonkhouseara,Stmk.,Aganisia,Batemannia,Otostylis,Pabstia,Zygopetalum,Zygosepalum,,,,
Steumpfleara,Spf.,Aspasia,Brassia,Gomesa,Oncidium,,,,,,
Stewartara,Stwt.,Ada,Cochlioda,Odontoglossum,,,,,,,
Stichorkis,Sck.,Stichorkis,,,,,,,,,
Stormara,Strm.,Cattleya,Guarianthe,Myrmecophila,Rhyncholaelia,,,,,,
Stricklandara,Str.,Cattleya,Encyclia,Guarianthe,Laelia,,,,,,
Styloglossum,Syl.,Styloglossum,,,,,,,,,
Sudalycenaria,Syc.,Bifrenaria,Lycaste,Sudamerlycaste,,,,,,,
Sudamerlycaste,Sud.,Sudamerlycaste,,,,,,,,,
Sudamuloa,Sul.,Anguloa,Sudamerlycaste,,,,,,,,
Summerangis,Smg.,Aerangis,Summerhayesia,,,,,,,,
Summerhayesia,Sum.,Summerhayesia,,,,,,,,,
Susanperreiraara,Sprra.,Broughtonia,Cattleya,Tetramicra,,,,,,,
Svenkoeltzia,Svk.,Svenkoeltzia,,,,,,,,,
Sweetara,Sw.,Paraphalaenopsis,Rhynchostylis,Vanda,,,,,,,
Taeniochista,Tch.,Chiloschista,Taeniophyllum,,,,,,,,
Tainiopsis,Tin.,Tainiopsis,,,,,,,,,
Takakiara,Tak.,Lycaste,Pabstia,Zygopetalum,,,,,,,
Tansirara,Tsr.,Aerides,Arachnis,Papilionanthe,Vanda,,,,,,
Tapilinopsis,Tlp.,Papilionanthe,Phalaenopsis,Taprobanea,,,,,,,
Taprachnis,Tpch.,Arachnis,Taprobanea,,,,,,,,
Taprachthera,Tar.,Arachnis,Renanthera,Taprobanea,,,,,,,
Tapranda,Tpd.,Taprobanea,Vanda,,,,,,,,
Tapranthera,Tpr.,Renanthera,Taprobanea,,,,,,,,
Tapranthopsis,Tph.,Sarcanthopsis,Taprobanea,,,,,,,,
Taprenopsis,Tprn.,Phalaenopsis,Renanthera,Taprobanea,,,,,,,
Taprenvandopsis,Trvp.,Renanthera,Taprobanea,Vandopsis,,,,,,,
Taproanthe,Tpn.,Papilionanthe,Taprobanea,,,,,,,,
Taproglottis,Tpg.,Taprobanea,Trichoglottis,,,,,,,,
Tapronopsis,Tpp.,Phalaenopsis,Taprobanea,,,,,,,,
Tapropapilanda,Tppd.,Papilionanthe,Taprobanea,Vanda,,,,,,,
Tapropapilanthera,Tplt.,Papilionanthe,Renanthera,Taprobanea,,,,,,,
Taproparanthera,Tprp.,Paraphalaenopsis,Renanthera,Taprobanea,,,,,,,
Taprophalanda,Tpln.,Phalaenopsis,Taprobanea,Vanda,,,,,,,
Taprotrichothera,Tpt.,Renanthera,Taprobanea,Trichoglottis,,,,,,,
Tapvandachnis,Tvd.,Arachnis,Taprobanea,Vanda,,,,,,,
Tapvandera,Tvr.,Renanthera,Taprobanea,Vanda,,,,,,,
Tateara,Tat.,Encyclia,Epidendrum,Guarianthe,Prosthechea,,,,,,
Telidezia,Tdz.,Fernandezia,Telipogon,,,,,,,,
Telipogon,Tp.,Telipogon,,,,,,,,,
Telisterella,Tlt.,Hofmeisterella,Telipogon,,,,,,,,
Teohara,Thra.,Arachnis,Renanthera,Vanda,Vandopsis,,,,,,
Tetrabroughtanthe,Tbg.,Broughtonia,Guarianthe,Tetramicra,,,,,,,
Tetracattleya,Ttct.,Cattleya,Tetramicra,,,,,,,,
Tetracyclia,Tcy.,Encyclia,Tetramicra,,,,,,,,
Tetrakeria,Ttka.,Barkeria,Tetramicra,,,,,,,,
Tetramicra,Ttma.,Tetramicra,,,,,,,,,
Tetrarthron,Ttt.,Caularthron,Tetramicra,,,,,,,,
Tetrasychilis,Tyc.,Psychilis,Tetramicra,,,,,,,,
Tetratonia,Tttna.,Broughtonia,Tetramicra,,,,,,,,
Tetronichilis,Trn.,Broughtonia,Psychilis,Tetramicra,,,,,,,
Thecopus,The.,Thecopus,,,,,,,,,
Thecostele,Tcs.,Thecostele,,,,,,,,,
Thecostelopus,Ttp.,Thecopus,Thecostele,,,,,,,,
Thelymitra,Thel.,Thelymitra,,,,,,,,,
Thesaera,Thsra.,Aerangis,Aeranthes,,,,,,,,
Thompsonara,Thmpa.,Catasetum,Cymbidium,Grammatophyllum,,,,,,,
Thouarsara,Thr.,Brassia,Gomesa,Miltonia,Rodriguezia,,,,,,
Thrixspermum,Tx.,Thrixspermum,,,,,,,,,
Thunia,Thu.,Thunia,,,,,,,,,
Thunilla,Tnl.,Bletilla,Thunia,,,,,,,,
Toladenia,Tld.,Macradenia,Tolumnia,,,,,,,,
Tolassia,Tos.,Brassia,Tolumnia,,,,,,,,
Tolguezettia,Tgz.,Comparettia,Rodriguezia,Tolumnia,,,,,,,
Toloncettia,Tnc.,Comparettia,Oncidium,Tolumnia,,,,,,,
Toluandra,Tln.,Galeandra,Tolumnia,,,,,,,,
Tolucentrum,Tun.,Tolumnia,Trichocentrum,,,,,,,,
Toluglossum,Tgl.,Odontoglossum,Tolumnia,,,,,,,,
Tolumnia,Tolu.,Tolumnia,,,,,,,,,
Tolumnopsis,Tmp.,Miltoniopsis,Tolumnia,,,,,,,,
Tolutonia,Tut.,Miltonia,Tolumnia,,,,,,,,
Trachypetalum,Trp.,Trachypetalum,,,,,,,,,
Traunsteinera,T.,Traunsteinera,,,,,,,,,
Trevorara,Trev.,Arachnis,Phalaenopsis,Vanda,,,,,,,
Trichassia,Tss.,Brassia,Trichocentrum,,,,,,,,
Trichocenilus,Tcn.,Leochilus,Trichocentrum,,,,,,,,
Trichocensiella,Ths.,Psychopsiella,Trichocentrum,,,,,,,,
Trichocentrum,Trt.,Trichocentrum,,,,,,,,,
Trichoceros,Tc.,Trichoceros,,,,,,,,,
Trichocidiphyllum,Tpy.,Grandiphyllum,Oncidium,Trichocentrum,,,,,,,
Trichocidium,Trcdm.,Oncidium,Trichocentrum,,,,,,,,
Trichocyrtocidium,Tyd.,Cyrtochilum,Oncidium,Trichocentrum,,,,,,,
Trichodezia,Tdza.,Fernandezia,Trichoceros,,,,,,,,
Trichoglottis,Trgl.,Trichoglottis,,,,,,,,,
Trichononcos,Tnn.,Adenoncos,Trichoglottis,,,,,,,,
Trichonopsis,Trnps.,Phalaenopsis,Trichoglottis,,,,,,,,
Trichopilia,Trpla.,Trichopilia,,,,,,,,,
Trichopogon,Tpgn.,Telipogon,Trichoceros,,,,,,,,
Trichopsis,Trcps.,Trichoglottis,Vandopsis,,,,,,,,
Trichorella,Trla.,Hofmeisterella,Trichoceros,,,,,,,,
Trichosalpinx,Tsx.,Trichosalpinx,,,,,,,,,
Trichostele,Tht.,Rhynchostele,Trichocentrum,,,,,,,,
Trichostylis,Trst.,Rhynchostylis,Trichoglottis,,,,,,,,
Trichovanda,Trcv.,Trichoglottis,Vanda,,,,,,,,
Trichovanvanda,Tvv.,Trichoglottis,Vanda,Vandopsis,,,,,,,
Tricyrtochilum,Tyt.,Cyrtochilum,Trichocentrum,,,,,,,,
Tridactyle,Tr.,Tridactyle,,,,,,,,,
Trigolyca,Trgca.,Mormolyca,Trigonidium,,,,,,,,
Trigonidium,Trgdm.,Trigonidium,,,,,,,,,
Triodoncidium,Tcd.,Odontoglossum,Oncidium,Trichocentrum,,,,,,,
Tsaiara,Tsa.,Phalaenopsis,Renanthera,Vanda,Vandopsis,,,,,,
Tsaiorchis,Ts.,Tsaiorchis,,,,,,,,,
Tsubotaara,Tst.,Aganisia,Pabstia,Zygopetalum,,,,,,,
Tubaecum,Tbcm.,Angraecum,Tuberolabium,,,,,,,,
Tubecentron,Tct.,Ceratocentron,Tuberolabium,,,,,,,,
Tuberolabium,Tblm.,Tuberolabium,,,,,,,,,
Tuberoparaptoceras,Tpc.,Parapteroceras,Tuberolabium,,,,,,,,
Turnbowara,Tbwa.,Barkeria,Broughtonia,Cattleya,,,,,,,
Twuara,Twr.,Gomesa,Oncidium,Rodriguezia,,,,,,,
Uptonara,Upta.,Phalaenopsis,Rhynchostylis,Sarcochilus,,,,,,,
Vanachnochilus,Vacl.,Arachnis,Staurochilus,Vanda,,,,,,,
Vanalstyneara,Vnsta.,Miltonia,Odontoglossum,Oncidium,Rodriguezia,,,,,,
Vananthopsis,Vtp.,Sarcanthopsis,Vanda,,,,,,,,
Vancampe,Vcp.,Acampe,Vanda,,,,,,,,
Vanchoanthe,Vct.,Papilionanthe,Rhynchostylis,Vanda,,,,,,,
Vanda,V.,Vanda,,,,,,,,,
Vandachnis,Vchns.,Arachnis,Vandopsis,,,,,,,,
Vandachostylis,Van.,Rhynchostylis,Vanda,,,,,,,,
Vandaecum,Vand.,Angraecum,Vanda,,,,,,,,
Vandaenopsis,Vdnps.,Phalaenopsis,Vanda,,,,,,,,
Vandaeranthes,Vths.,Aeranthes,Vanda,,,,,,,,
Vandensonides,Vns.,Aerides,Christensonia,Vanda,,,,,,,
Vandofinetia,Vf.,Neofinetia,Vanda,,,,,,,,
Vandofinides,Vfds.,Aerides,Neofinetia,Vanda,,,,,,,
Vandoglossum,Vg.,Holcoglossum,Vanda,,,,,,,,
Vandoglottanthe,Vgt.,Papilionanthe,Trichoglottis,Vanda,,,,,,,
Vandopsides,Vdpsd.,Aerides,Vandopsis,,,,,,,,
Vandopsis,Vdps.,Vandopsis,,,,,,,,,
Vanglossum,Vgm.,Ascoglossum,Vanda,,,,,,,,
Vanilla,Vl.,Vanilla,,,,,,,,,
Vanlaenoglottis,Veg.,Phalaenopsis,Trichoglottis,Vanda,,,,,,,
Vannerara,Vnr.,Aspasia,Cochlioda,Odontoglossum,Rhynchostele,,,,,,
Vanphalanthe,Vpl.,Papilionanthe,Phalaenopsis,Vanda,,,,,,,
Vanquetia,Vqt.,Robiquetia,Vanda,,,,,,,,
Vanschista,Vst.,Chiloschista,Vanda,,,,,,,,
Vanstauropsis,Vsp.,Staurochilus,Vanda,Vandopsis,,,,,,,
Vansteenisara,Ves.,Papilionanthe,Paraphalaenopsis,Rhynchostylis,Vanda,,,,,,
Vantonia,Vtn.,Cottonia,Vanda,,,,,,,,
Vantrichopsis,Vrp.,Trichochilus,Vanda,Vandopsis,,,,,,,
Vanvanda,Vvd.,Vanda,Vandopsis,,,,,,,,
Vargasara,Vrg.,Aspasia,Miltonia,Miltoniopsis,Rossioglossum,,,,,,
Vaughnara,Vnra.,Brassavola,Cattleya,Epidendrum,,,,,,,
Veraara,Vrr.,Pabstia,Pescatoria,Warczewiczella,Zygopetalum,,,,,,
Veramayara,Vrm.,Cochleanthes,Pabstia,Pescatoria,Zygopetalum,,,,,,
Verboonenara,Vbn.,Broughtonia,Cattleya,Myrmecophila,Rhyncholaelia,,,,,,
Vermeulenia,Vrml.,Vermeulenia,,,,,,,,,
Veyretia,Vyr.,Veyretia,,,,,,,,,
Vicentelara,Vnt.,Renanthera,Rhynchostylis,Vanda,Vandopsis,,,,,,
Vitebrassonia,Vrs.,Brassia,Miltonia,Vitekorchis,,,,,,,
Vitechilum,Vtl.,Cyrtochilum,Vitekorchis,,,,,,,,
Vitecidium,Vtc.,Oncidium,Vitekorchis,,,,,,,,
Vitekorchis,Vit.,Vitekorchis,,,,,,,,,
Volkertara,Vkt.,Broughtonia,Cattleya,Guarianthe,Rhyncholaelia,,,,,,
Vonbismarckara,Vbm.,Brassia,Gomesa,Miltonia,Oncidium,,,,,,
Vriesara,Vri.,Broughtonia,Cattleya,Laelia,Rhyncholaelia,,,,,,
Vuylstekeara,Vuyl.,Cochlioda,Miltonia,Odontoglossum,,,,,,,
Wailaihowara,Wll.,Arachnis,Paraphalaenopsis,Rhynchostylis,Vanda,,,,,,
Waireia,Wre.,Waireia,,,,,,,,,
Waironara,Wrna.,Aerides,Renanthera,Rhynchostylis,Vanda,,,,,,
Wallbrunnara,Wlb.,Arachnis,Paraphalaenopsis,Vanda,Vandopsis,,,,,,
Warasara,Wrs.,Broughtonia,Cattleya,Caularthron,Encyclia,Laelia,Psychilis,Rhyncholaelia,,,
Warcatardia,Wtd.,Chaubardia,Pescatoria,Warczewiczella,,,,,,,
Warchaubeanthes,Whb.,Chaubardia,Cochleanthes,Warczewiczella,,,,,,,
Warchlerhyncha,Wcy.,Chondrorhyncha,Cochleanthes,Warczewiczella,,,,,,,
Warczatoria,Wzt.,Pescatoria,Warczewiczella,,,,,,,,
Warczebardia,Wzb.,Chaubardia,Warczewiczella,,,,,,,,
Warczerhyncha,Wzr.,Chondrorhyncha,Warczewiczella,,,,,,,,
Warczewiczella,Wcz.,Warczewiczella,,,,,,,,,
Warczewscaphe,Wws.,Chondroscaphe,Warczewiczella,,,,,,,,
Warneara,Wnra.,Comparettia,Oncidium,Rodriguezia,,,,,,,
Warnerara,Wrn.,Brassavola,Cattleya,Myrmecophila,Rhyncholaelia,,,,,,
Warrea,Wra.,Warrea,,,,,,,,,
Warscatoranthes,Wtr.,Cochleanthes,Pescatoria,Warczewiczella,,,,,,,
Warszewiczara,Wwz.,Pabstia,Promenaea,Warczewiczella,Zygopetalum,,,,,,
Watanabeara,Wtb.,Cochlioda,Comparettia,Oncidium,,,,,,,
Watsonara,Wts.,Brassia,Odontoglossum,Oncidium,Trichocentrum,,,,,,
Weberbauerara,Wbb.,Aspasia,Brassia,Miltonia,Miltoniopsis,Rossioglossum,,,,,
Whitmoorara,Wmr.,Papilionanthe,Phalaenopsis,Renanthera,Vanda,,,,,,
Wilburachangara,Wbg.,Broughtonia,Cattleya,Euchile,Myrmecophila,,,,,,
Wilhelmara,Whm.,Brassia,Miltonia,Rhynchostele,,,,,,,
Williamcookara,Wlc.,Broughtonia,Cattleya,Caularthron,Laelia,,,,,,
Williampriceara,Wmp.,Anguloa,Lycaste,Pabstia,Promenaea,Zygopetalum,,,,,
Williehowara,Whw.,Aerides,Arachnis,Rhynchostylis,Vanda,,,,,,
Wilmotteara,Wmt.,Broughtonia,Cattleya,Guarianthe,Myrmecophila,,,,,,
Wilsonara,Wils.,Cochlioda,Odontoglossum,Oncidium,,,,,,,
Wingfieldara,Wgfa.,Aspasia,Brassia,Odontoglossum,,,,,,,
Wiseara,Wse.,Anguloa,Lycaste,Xylobium,,,,,,,
Withnerara,With.,Aspasia,Miltonia,Odontoglossum,Oncidium,,,,,,
Wojcechowskiara,Woj.,Broughtonia,Cattleya,Caularthron,Myrmecophila,,,,,,
Wolleydodara,Wly.,Broughtonia,Cattleya,Epidendrum,Guarianthe,,,,,,
Wooara,Woo.,Brassavola,Broughtonia,Epidendrum,,,,,,,
Wuttiphanara,Wut.,Aerides,Rhynchostylis,Vanda,Vandopsis,,,,,,
Xylobium,Xyl.,Xylobium,,,,,,,,,
Yapara,Yap.,Phalaenopsis,Rhynchostylis,Vanda,,,,,,,
Yeepengara,Ypga.,Aerides,Phalaenopsis,Rhynchostylis,Vanda,,,,,,
Yeohbokara,Ybk.,Arachnis,Papilionanthe,Paraphalaenopsis,Vanda,,,,,,
Yinwaiara,Yin.,Aerides,Christensonia,Rhynchostylis,Vanda,,,,,,
Yoneoara,Ynra.,Renanthera,Rhynchostylis,Vandopsis,,,,,,,
Yonezawaara,Yzwr.,Neofinetia,Rhynchostylis,Vanda,,,,,,,
Youngyouthara,Ygt.,Brassavola,Broughtonia,Cattleya,Caularthron,,,,,,
Ypsilactyle,Ypt.,Tridactyle,Ypsilopus,,,,,,,,
Ypsilopus,Yp.,Ypsilopus,,,,,,,,,
Yuwengangara,Ywg.,Arachnis,Paraphalaenopsis,Renanthera,Rhynchostylis,Vanda,,,,,
Zelawillumnia,Zwn.,Nohawilliamsia,Tolumnia,Zelenkoa,,,,,,,
Zelemnia,Zlm.,Tolumnia,Zelenkoa,,,,,,,,
Zelenchilum,Zlc.,Cyrtochilum,Zelenkoa,,,,,,,,
Zelenchostele,Zcs.,Rhynchostele,Zelenkoa,,,,,,,,
Zelencidiostele,Zct.,Oncidium,Rhynchostele,Zelenkoa,,,,,,,
Zelencidopsis,Zdp.,Miltoniopsis,Oncidium,Zelenkoa,,,,,,,
Zelenettia,Znt.,Comparettia,Zelenkoa,,,,,,,,
Zelengomestele,Zgs.,Gomesa,Rhynchostele,Zelenkoa,,,,,,,
Zelenkoa,Zel.,Zelenkoa,,,,,,,,,
Zelenkoara,Zka.,Leochilus,Oncidium,Rodriguezia,Zelenkoa,,,,,,
Zelenkocidium,Zed.,Oncidium,Zelenkoa,,,,,,,,
Zelglossoda,Zgd.,Cochlioda,Odontoglossum,Zelenkoa,,,,,,,
Zelomguezia,Zmg.,Gomesa,Rodriguezia,Zelenkoa,,,,,,,
Zeloncidesa,Zds.,Gomesa,Oncidium,Zelenkoa,,,,,,,
Zeltonossum,Zts.,Miltonia,Odontoglossum,Zelenkoa,,,,,,,
Zelumguezia,Zgz.,Rodriguezia,Tolumnia,Zelenkoa,,,,,,,
Zelyrtodium,Zyd.,Cyrtochilum,Oncidium,Zelenkoa,,,,,,,
Zootrophion,Zo.,Zootrophion,,,,,,,,,
Zygobardia,Zbd.,Chaubardia,Zygopetalum,,,,,,,,
Zygobatemannia,Zbm.,Batemannia,Zygopetalum,,,,,,,,
Zygocaste,Zcst.,Lycaste,Zygopetalum,,,,,,,,
Zygocastuloa,Zcl.,Anguloa,Lycaste,Zygopetalum,,,,,,,
Zygodisanthus,Zdsnth.,Paradisanthus,Zygopetalum,,,,,,,,
Zygogardmannia,Zgm.,Batemannia,Neogardneria,Zygopetalum,,,,,,,
Zygolum,Zglm.,Zygopetalum,Zygosepalum,,,,,,,,
Zygomatophyllum,Zmt.,Grammatophyllum,Zygopetalum,,,,,,,,
Zygomenzella,Zmz.,Promenaea,Warczewiczella,Zygopetalum,,,,,,,
Zygoncidesa,Zgc.,Gomesa,Oncidium,Zygopetalum,,,,,,,
Zygoneria,Zga.,Neogardneria,Zygopetalum,,,,,,,,
Zygonisatoria,Zsr.,Aganisia,Pescatoria,Zygopetalum,,,,,,,
Zygonisia,Zns.,Aganisia,Zygopetalum,,,,,,,,
Zygopabstia,Zba.,Pabstia,Zygopetalum,,,,,,,,
Zygopetalum,Z.,Zygopetalum,,,,,,,,,
Zygophinia,Zpn.,Paphinia,Zygopetalum,,,,,,,,
Zygorhyncha,Zcha.,Chondrorhyncha,Zygopetalum,,,,,,,,
Zygoscaphe,Zcp.,Chondroscaphe,Zygopetalum,,,,,,,,
Zygosepalum,Zspm.,Zygosepalum,,,,,,,,,
Zygosepella,Zsp.,Warczewiczella,Zygosepalum,,,,,,,,
Zygosepescalum,Zsc.,Pescatoria,Zygopetalum,Zygosepalum,,,,,,,
Zygosteria,Zst.,Peristeria,Zygopetalum,,,,,,,,
Zygostylis,Zsts.,Otostylis,Zygopetalum,,,,,,,,
Zygotoria,Zgt.,Pescatoria,Zygopetalum,,,,,,,,
Zygowarrea,Zwr.,Warrea,Zygopetalum,,,,,,,,
Zygozella,Zzl.,Warczewiczella,Zygopetalum,,,,,,,,
